기관유형,기관명,설명
중앙행정기관,기획재정부,"1. 기관소개<br>기획재정부는 거시경제의 안정적 운용과 경제정책의 합리적 조정, 국가재원의 효율적 배분과 재정 건전성 확보, 공공기관의 혁신, 합리적 조세정책, 국제금융, 대외협력 강화를 관장하는 대한민국의 중앙행정기관이다. <br>2. 정보목록<br>http://www.moef.go.kr/id/il/ill.do;jsessionid=vAbvrcxOJ3GSK0jRTYS37sBg.node50?menuNo=3030000<br>3. 기획재정부 보유기록물 현황<br>http://www.moef.go.kr/com/bbs/detailComtPolbbsView.do?searchBbsId1=MOSFBBS_000000000039&searchNttId1=MOSF_000000000042036&menuNo=5020200<br>4. 기록관 홈페이지 링크 : 없음<br>5. 기록관리전문요원 배치 인원 : 1명<br>*기록관리 업무 담당자 : 4명<br>6. 기타<br> 1) 기획재정부 기록관 운영규칙<br>http://www.law.go.kr/행정규칙/기획재정부기록관운영규칙/(24,20080616)<br> 2) 기획재정부 기록관리기준표<br>http://www.moef.go.kr/nw/nes/detailNesDtaView.do?searchBbsId1=MOSFBBS_000000000030&searchNttId1=MOSF_000000000033150&menuNo=4050100"
중앙행정기관,교육부,"1. 기관소개<br>교육부는 대한민국의 인적자원 개발정책과 학교교육, 평생교육 및 학술에 관한 사무를 관장하는 대한민국의 중앙행정기관이다.<br>2. 정보목록<br>https://www.moe.go.kr/sub/info.do?m=040104&s=moe<br>3. 대한민국 교육부 보유기록물 현황<br>https://www.moe.go.kr/boardCnts/view.do?boardID=346&boardSeq=71892&lev=0&searchType=S&statusYN=W&page=1&s=moe&m=041201&opType=N<br>4. 기록관 홈페이지 링크 : 없음<br>5. 기록관리전문요원 배치 인원 : 1명<br>*기록관리 업무 담당자 : 4명<br>6. 기타<br> 1)대한민국 교육부 기록관 운영규정<br>https://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000001441&vSct=교육부%20기록관<br> 2) 대한민국 교육부 기록관리 기본계획<br>https://www.moe.go.kr/boardCnts/view.do?boardID=346&boardSeq=79724&lev=0&searchType=S&statusYN=W&page=1&s=moe&m=0412&opType=N<br> 3) 교육부 폐기 기록물 목록<br>https://www.moe.go.kr/boardCnts/view.do?boardID=346&boardSeq=81367&lev=0&searchType=S&statusYN=W&page=1&s=moe&m=0412&opType=N<br> 4) 교육부 기록관리기준표<br>https://www.moe.go.kr/boardCnts/view.do?boardID=346&boardSeq=81805&lev=0&searchType=S&statusYN=W&page=1&s=moe&m=0412&opType=N"
중앙행정기관,과학기술정보통신부,1. 기관소개<br>대한민국 과학기술정보통신부는 국가 과학기술 정책과 정보통신 정책을 총괄하는 대한민국의 중앙행정기관이다.<br>2. 정보목록<br>https://www.msit.go.kr/web/msipContents/contents.do?mId=OTA5<br>3. 보유기록물 현황 : 없음<br>4. 기록관 홈페이지 링크 : 없음<br>5. 기록물관리전문요원 배치 인원 : 1명<br>*기록관리 업무 담당자 : 2명<br>6. 기타<br> 1) 대한민국 과학기술정보통신부 기록관리기준표 <br>https://www.msit.go.kr/SYNAP/skin/doc.html?fn=5e848ea8b8e761ac1ba3b1590a162358&rs=/SYNAP/sn3hcv/result/202010/
중앙행정기관,외교부 외교사료관,1. 기록관소개<br>한국의 외교사료를 과학적·체계적으로 보존·관리 및 활용하기 위하여 2006년 4월 설립한 특수 자료관이다.<br>2. 정보목록 : 없음<br>3. 외교부 외교사료관 보유기록물 목록<br>http://diplomaticarchives.mofa.go.kr/dev/open_document_list.go<br>4. 기록관 홈페이지 링크<br>http://diplomaticarchives.mofa.go.kr/dev/main_index.do<br>5. 기록물관리전문요원 배치 인원 : 6명<br>6. 기타<br> 1) 온라인 전시<br>http://diplomaticarchives.mofa.go.kr/dev/age.jsp<br> 2) 견학·전시해설 안내<br>https://diplomaticarchives.mofa.go.kr/dev/tour_app.do<br>3) 외교관학교<br>https://diplomaticarchives.mofa.go.kr/dev/school.do<br> 4) 외교문서 열람실 안내<br>http://diplomaticarchives.mofa.go.kr/open/info.jsp?<br> 5) 외교부 외교사료관 운영규정<br>http://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000003588
중앙행정기관,통일부,"1. 기관소개<br>통일부는 통일 및 남북 대화·교류·협력에 관한 종합적 기본정책의 수립, 이에 관한 기획의 종합·조정, 통일교육, 기타 통일에 관한 사무를 관장하는 대한민국의 중앙행정기관이다.<br>2. 사전정보공표 목록<br>https://www.unikorea.go.kr/unikorea/open/publication/announcemenlist/0001/?boardId=bbs_0000000000000021&category=통일정책<br>3. 보유기록물 현황 : 없음<br>4. 기록관 홈페이지 링크 : 없음<br>5. 기록물관리전문요원 배치 인원 : 1명<br>6. 기타<br> 1) 통일부 자료관 운영규정<br>http://www.law.go.kr/행정규칙/통일부자료관운영규정/(551,20170831)<br> 2) 통일부 자료관리 규정<br>http://www.law.go.kr/행정규칙/통일부자료관리규정/(601,20200720)"
중앙행정기관,법무부,"1. 기관소개<br>법무부는 검찰·행형·인권옹호·출입국관리와 그밖에 법무에 관한 사무를 관장하는 대한민국의 중앙행정기관이다.<br>2. 정보목록<br>http://www.moj.go.kr/moj/95/subview.do<br>3. 법무부 기록관 보유 기록물 목록<br>http://www.moj.go.kr/moj/140/subview.do?enc=Zm5jdDF8QEB8JTJGYmJzJTJGbW9qJTJGOTMlMkY0ODY3MDElMkZhcnRjbFZpZXcuZG8lM0ZwYXNzd29yZCUzRCUyNnJnc0JnbmRlU3RyJTNEJTI2YmJzQ2xTZXElM0QlMjZyZ3NFbmRkZVN0ciUzRCUyNmlzVmlld01pbmUlM0RmYWxzZSUyNnBhZ2UlM0QxJTI2YmJzT3BlbldyZFNlcSUzRCUyNnNyY2hDb2x1bW4lM0RzaiUyNnNyY2hXcmQlM0QlRUElQjglQjAlRUIlQTElOUQlMjY%3D<br>4. 기록관 홈페이지 링크 : 없음<br>5. 기록물관리전문요원 배치 인원 : 1명<br>*기록관리 업무 담당자 : 2명<br>6. 기타<br> 1) 법무부 기록관 운영 및 기록물관리에 관한 규정<br>http://www.law.go.kr/행정규칙/법무부기록관운영및기록물관리에관한규정/(808,20101202)<br> 2) 법무부 기록관리기준표<br>http://www.moj.go.kr/moj/140/subview.do?enc=Zm5jdDF8QEB8JTJGYmJzJTJGbW9qJTJGOTMlMkY0ODYyMzIlMkZhcnRjbFZpZXcuZG8lM0ZwYXNzd29yZCUzRCUyNnJnc0JnbmRlU3RyJTNEJTI2YmJzQ2xTZXElM0QlMjZyZ3NFbmRkZVN0ciUzRCUyNmlzVmlld01pbmUlM0RmYWxzZSUyNnBhZ2UlM0QxJTI2YmJzT3BlbldyZFNlcSUzRCUyNnNyY2hDb2x1bW4lM0RzaiUyNnNyY2hXcmQlM0QlRUElQjglQjAlRUIlQTElOUQlMjY%3D"
중앙행정기관,국방부,"1. 기관소개<br>대한민국 국방부는 국방에 관련된 군정 및 군령과 그밖에 군사에 관한 사무를 관장하는 대한민국의 중앙행정기관이다.<br>2. 정보목록<br>https://www.mnd.go.kr/mbshome/mbs/mnd/subview.jsp?id=mnd_050300000000<br>3. 국방부 기록관 보유기록물철 목록<br>https://www.mnd.go.kr/user/boardList.action?command=view&page=1&boardId=O_46843&boardSeq=o_1140000000163&titleId=&siteId=mnd&id=mnd_050600000000&column=title&search=기록<br>4. 기록관 홈페이지 링크 : 없음<br>5. 기록물관리전문요원 배치 인원 : 1명<br>*기록관리 업무 담당자 : 11명<br>6. 기타<br> 1) 국방부 특수기록관 운영 및 기록물관리 보안·재난관리 예규<br>http://www.law.go.kr/행정규칙/국방부특수기록관운영및기록물관리보안·재난관리예규/(547,20140312)<br> 2) 국방부 특수기록관 기록물 열람 및 이용 예규<br>http://www.law.go.kr/행정규칙/국방부특수기록관기록물열람및이용예규/(550,20140522)"
중앙행정기관,행정안전부,"1. 기관소개<br>행정안전부는 대한민국의 안전과 재난에 관한 정책의 수립·총괄·조정, 법령 및 조약의 공포, 정부조직과 정원, 행정 능률, 전자정부 운영, 지방자치제도 등에 관한 사무를 관장하는 대한민국의 중앙행정기관이다.<br>2. 정보목록<br>https://www.mois.go.kr/frt/sub/a02/info1304List/screen.do<br>3. 행정안전부 보유기록물 목록<br>https://www.mois.go.kr/frt/a02/selectInfoRcordList.do<br>4. 기록관 홈페이지 링크 : 없음 <br>5. 기록물관리전문요원 배치 인원 : 2명<br>*기록관리 업무 담당자 : 25명<br>6. 기타<br> 1) 행정안전부 기록관 운영 규정<br>http://www.law.go.kr/admRulLsInfoP.do?admRulSeq=2100000186271&vSct=행정안전부<br> 2) 2020 행정안전부 기록관리기준표<br>http://www.law.go.kr/행정규칙/2020년행정안전부기록관리기준표/(2020-591,20200902)"
중앙행정기관,문화체육관광부,"1. 기관소개<br>문화체육관광부는 문화·예술·영상·광고·출판·간행물·체육·관광, 국정에 대한 홍보 및 정부 발표에 관한 사무를 관장하는 대한민국의 중앙행정기관이다.<br>2. 정보목록<br>https://www.mcst.go.kr/kor/s_open/report/openDataReport.jsp<br>3. 보유기록물 현황 : 없음<br>4. 기록관 홈페이지 링크 : 없음<br>5. 기록물관리전문요원 배치 인원 : 2명<br>*기록관리 업무 담당자 : 11명<br>6. 기타<br> 1) 문화체육관광부 기록관 운영규정<br>http://www.law.go.kr/행정규칙/문화체육관광부기록관운영규정/(185,20121226)<br> 2) 문화체육관광부 기록관리기준표<br>http://www.law.go.kr/행정규칙/2020년문화체육관광부기록관리기준표고시/(2020-6,20200206)"
중앙행정기관,농림축산식품부,"1. 기관소개<br>농림축산식품부는 농산·축산, 식량·농지·수리(水利), 식품산업 진흥, 농촌개발 및 농산물 유통 등에 관한 사무를 관장하는 대한민국의 중앙행정기관이다.<br>2. 정보목록<br>https://www.mafra.go.kr/mafra/315/subview.do<br>3. 농림축산식품부 보유기록물 목록<br>https://www.mafra.go.kr/mafra/317/subview.do<br>4. 기록관 홈페이지 링크 : 없음<br>5. 기록물관리전문요원 배치 인원 : 1명<br>*기록관리 업무 담당자 : 2명<br>6. 기타<br> 1) 농림축산식품부 기록관 운영 규정<br>http://www.law.go.kr/행정규칙/농림축산식품부기록관운영규정/(82,20131007)"
