0,1,2,3,4,5,6,7,8,9,10,11
기획재정부,1. 기관소개,2. 정보목록,3. 기획재정부 보유기록물 현황,4. 기록관 홈페이지 링크 : 없음,5. 기록관리전문요원 배치 인원 : 1명,6. 기타,,,,,
교육부,1. 기관소개,2. 정보목록,3. 대한민국 교육부 보유기록물 현황,4. 기록관 홈페이지 링크 : 없음,5. 기록관리전문요원 배치 인원 : 1명,6. 기타,,,,,
과학기술정보통신부,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
외교부 외교사료관,1. 기록관소개,2. 정보목록 : 없음,3. 외교부 외교사료관 보유기록물 목록,4. 기록관 홈페이지 링크,5. 기록물관리전문요원 배치 인원 : 6명,6. 기타,,,,,
통일부,1. 기관소개,2. 사전정보공표 목록,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
법무부,1. 기관소개,2. 정보목록,3. 법무부 기록관 보유 기록물 목록,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
국방부,1. 기관소개,2. 정보목록,3. 국방부 기록관 보유기록물철 목록,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
행정안전부,1. 기관소개,2. 정보목록,3. 행정안전부 보유기록물 목록,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 2명,6. 기타,,,,,
문화체육관광부,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 2명,6. 기타,,,,,
농림축산식품부,1. 기관소개,2. 정보목록,3. 농림축산식품부 보유기록물 목록,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
산업통상자원부,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
보건복지부,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
환경부,1. 기관소개,2. 정보목록,3. 환경부 기록관 보유 기록물 목록,4. 기록관 홈페이지 링크 :  없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
고용노동부 기록관,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : http://library.moel.go.kr/subhomepage1/usmn000.jsp,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
여성가족부,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
국토교통부,1. 기관소개,2. 정보목록,3. 국토교통부 기록관 보유 목록,4. 기록관 홈페이지 링크 :  없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
해양수산부,1. 기관소개,2. 정보목록,3. 해양수산부 기록관 보유기록물 현황,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
중소벤처기업부,1. 기관소개,2. 정보목록,3. 중소벤처기업부 기록관 소장 기록물 목록,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
인사혁신처,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
법제처,1. 기관소개,2. 정보목록,3. 법제처 기록관 기록물 보유 목록,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
국가보훈처,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
식품의약품안전처,1. 기관소개,2. 정보목록,3. 식품의약품안전처 보유기록물 목록,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
국세청,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
관세청 관세기록관,1. 기관소개,2. 정보목록,3. 관세청 관세기록관 보유 자료 목록,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
조달청,1. 기관소개,2. 정보목록,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 : 없음 ,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
통계청,1. 기관소개,2. 정보목록,3. 통계청 기록관 보유 기록물 목록,4. 기록관 홈페이지 링크 : 없음,5. 기록물관리전문요원 배치 인원 : 1명,6. 기타,,,,,
대검찰청 국가형사사법기록관,1. 기록관소개,2. 정보목록,3. 보유기록물 현황 : 없음,4. 기록관 홈페이지 링크 ,5. 기록물관리전문요원 배치 인원 : 6명,6. 기타,,,,,
